Date,Gdp Per Capita
2009-02-12,1111.756
2009-02-14,1114.779
2009-02-16,1117.803
2009-02-19,1117.803
2009-02-21,1117.803
2009-02-23,1120.827
2009-02-25,1123.851
2009-02-27,1126.875
2009-03-01,1129.898
2009-03-03,1132.922
2009-03-05,1135.946
2009-03-07,1138.97
2009-03-09,1138.97
2009-03-14,1138.97
2009-03-19,1141.994
2009-03-24,1145.017
2009-03-29,1148.041
2009-04-03,1151.065
2009-04-08,1154.089
2009-04-13,1157.112
2009-04-18,1160.136
2009-04-23,1160.136
2009-04-25,1160.136
2009-04-27,1163.16
2009-04-29,1166.184
2009-05-01,1169.208
2009-05-03,1172.231
2009-05-05,1175.255
2009-05-07,1178.279
2009-05-09,1181.303
2009-05-12,1181.303
2009-05-14,1181.303
2009-05-16,1184.327
2009-05-19,1187.35
2009-05-21,1190.374
2009-05-23,1193.398
2009-05-26,1196.422
2009-05-28,1199.445
2009-05-30,1202.469
2009-06-02,1202.469
2009-06-07,1202.469
2009-06-13,1205.493
2009-06-19,1208.516
2009-06-24,1211.54
2009-06-30,1214.564
2009-07-06,1217.588
2009-07-11,1220.611
2009-07-17,1223.635
2009-07-23,1223.635
2009-07-25,1223.635
2009-07-27,1226.659
2009-07-29,1229.683
2009-07-31,1232.707
2009-08-03,1235.73
2009-08-05,1238.754
2009-08-07,1241.778
2009-08-09,1244.802
2009-08-12,1244.802
2009-08-15,1244.802
2009-08-18,1247.826
2009-08-22,1250.849
2009-08-25,1253.873
2009-08-29,1256.897
2009-09-01,1259.921
2009-09-05,1262.944
2009-09-08,1265.968
2009-09-12,1265.968
2009-09-17,1265.968
2009-09-22,1268.992
2009-09-28,1272.016
2009-10-03,1275.04
2009-10-09,1278.063
2009-10-14,1281.087
2009-10-20,1284.111
2009-10-25,1287.135
2009-10-31,1287.135
2009-11-03,1287.135
2009-11-06,1290.159
2009-11-10,1293.182
2009-11-13,1296.206
2009-11-16,1299.23
2009-11-20,1302.254
2009-11-23,1305.277
2009-11-26,1308.301
2009-11-30,1308.301
2009-12-02,1308.301
2009-12-04,1311.325
2009-12-06,1314.349
2009-12-08,1317.373
2009-12-11,1320.396
2009-12-13,1323.42
2009-12-15,1326.444
2009-12-17,1329.468
2009-12-20,1329.468
2009-12-24,1329.468
2009-12-29,1332.492
2010-01-02,1335.515
2010-01-07,1338.539
2010-01-11,1341.563
2010-01-16,1344.587
2010-01-20,1347.61
2010-01-25,1350.634
2010-01-30,1350.634
2010-02-01,1350.634
2010-02-03,1351.812
2010-02-05,1352.991
2010-02-07,1354.169
2010-02-10,1355.347
2010-02-12,1356.525
2010-02-14,1357.704
2010-02-16,1358.882
2010-02-19,1358.882
2010-02-21,1358.882
2010-02-23,1360.06
2010-02-25,1361.238
2010-02-27,1362.416
2010-03-01,1363.595
2010-03-03,1364.773
2010-03-05,1365.951
2010-03-07,1367.129
2010-03-10,1367.129
2010-03-14,1367.129
2010-03-19,1368.307
2010-03-24,1369.485
2010-03-29,1370.663
2010-04-03,1371.842
2010-04-08,1373.02
2010-04-13,1374.198
2010-04-18,1375.376
2010-04-23,1375.376
2010-04-25,1375.376
2010-04-27,1376.554
2010-04-29,1377.733
2010-05-01,1378.911
2010-05-03,1380.089
2010-05-05,1381.267
2010-05-07,1382.446
2010-05-09,1383.624
2010-05-12,1383.624
2010-05-14,1383.624
2010-05-16,1384.802
2010-05-19,1385.981
2010-05-21,1387.159
2010-05-23,1388.337
2010-05-26,1389.515
2010-05-28,1390.694
2010-05-30,1391.872
2010-06-02,1391.872
2010-06-07,1391.872
2010-06-13,1393.05
2010-06-19,1394.228
2010-06-24,1395.406
2010-06-30,1396.585
2010-07-06,1397.763
2010-07-11,1398.941
2010-07-17,1400.119
2010-07-23,1400.119
2010-07-25,1400.119
2010-07-27,1401.297
2010-07-29,1402.475
2010-07-31,1403.653
2010-08-03,1404.832
2010-08-05,1406.01
2010-08-07,1407.188
2010-08-09,1408.366
2010-08-12,1408.366
2010-08-15,1408.366
2010-08-18,1409.544
2010-08-22,1410.723
2010-08-25,1411.901
2010-08-29,1413.079
2010-09-01,1414.257
2010-09-05,1415.436
2010-09-08,1416.614
2010-09-12,1416.614
2010-09-17,1416.614
2010-09-22,1417.792
2010-09-28,1418.971
2010-10-03,1420.149
2010-10-09,1421.327
2010-10-14,1422.505
2010-10-20,1423.684
2010-10-25,1424.862
2010-10-31,1424.862
2010-11-03,1424.862
2010-11-06,1426.04
2010-11-10,1427.218
2010-11-13,1428.396
2010-11-16,1429.575
2010-11-20,1430.753
2010-11-23,1431.931
2010-11-26,1433.109
2010-11-30,1433.109
2010-12-02,1433.109
2010-12-04,1434.287
2010-12-06,1435.465
2010-12-08,1436.643
2010-12-11,1437.822
2010-12-13,1439.0
2010-12-15,1440.178
2010-12-17,1441.356
2010-12-20,1441.356
2010-12-23,1441.356
2010-12-27,1442.534
2010-12-31,1443.713
2011-01-04,1444.891
2011-01-07,1446.069
2011-01-11,1447.247
2011-01-15,1448.426
2011-01-19,1449.604
2011-01-23,1449.604
2011-01-25,1448.305
2011-01-27,1448.491
2011-01-29,1448.676
2011-01-31,1448.862
2011-02-03,1449.047
2011-02-05,1449.233
2011-02-07,1449.418
2011-02-09,1449.604
2011-02-12,1448.305
2011-02-15,1447.006
2011-02-18,1447.192
2011-02-21,1447.377
2011-02-24,1447.563
2011-02-27,1447.748
2011-03-02,1447.934
2011-03-05,1448.119
2011-03-08,1448.305
2011-03-12,1447.006
2011-03-16,1445.708
2011-03-20,1445.893
2011-03-25,1446.079
2011-03-29,1446.264
2011-04-02,1446.45
2011-04-07,1446.635
2011-04-11,1446.821
2011-04-15,1447.006
2011-04-20,1445.708
2011-04-22,1444.409
2011-04-24,1444.595
2011-04-27,1444.78
2011-04-29,1444.966
2011-05-02,1445.151
2011-05-04,1445.337
2011-05-07,1445.522
2011-05-09,1445.708
2011-05-12,1444.409
2011-05-15,1443.11
