Date,1 Year,2 Year,3 Year,5 Year
2003-04-25,5.925,6.072,6.24,7.003
2003-04-27,5.929,6.078,6.249,7.01
2003-04-29,5.933,6.083,6.258,7.017
2003-05-01,5.938,6.089,6.268,7.023
2003-05-03,5.942,6.095,6.277,7.03
2003-05-05,5.947,6.101,6.286,7.037
2003-05-07,5.951,6.106,6.295,7.044
2003-05-09,5.955,6.112,6.305,7.05
2003-05-12,5.96,6.118,6.314,7.057
2003-05-14,5.964,6.124,6.323,7.064
2003-05-16,5.969,6.13,6.332,7.07
2003-05-19,5.973,6.135,6.342,7.077
2003-05-21,5.977,6.141,6.351,7.084
2003-05-23,5.982,6.147,6.36,7.091
2003-05-26,5.986,6.153,6.369,7.097
2003-05-28,5.991,6.159,6.379,7.104
2003-05-30,5.995,6.164,6.388,7.111
2003-06-02,5.999,6.17,6.397,7.117
2003-06-07,6.004,6.176,6.406,7.124
2003-06-13,6.008,6.182,6.416,7.131
2003-06-19,6.012,6.188,6.425,7.138
2003-06-24,6.017,6.193,6.434,7.144
2003-06-30,6.021,6.199,6.444,7.151
2003-07-06,6.026,6.205,6.453,7.158
2003-07-11,6.03,6.211,6.462,7.164
2003-07-17,6.034,6.216,6.471,7.171
2003-07-23,6.039,6.222,6.481,7.178
2003-07-25,6.043,6.228,6.49,7.184
2003-07-27,6.048,6.234,6.499,7.191
2003-07-29,6.052,6.24,6.508,7.198
2003-07-31,6.056,6.245,6.518,7.205
2003-08-03,6.061,6.251,6.527,7.211
2003-08-05,6.065,6.257,6.536,7.218
2003-08-07,6.07,6.263,6.545,7.225
2003-08-09,6.074,6.269,6.555,7.231
2003-08-12,6.078,6.274,6.564,7.238
2003-08-15,6.083,6.28,6.573,7.245
2003-08-18,6.087,6.286,6.582,7.252
2003-08-22,6.092,6.292,6.592,7.258
2003-08-25,6.096,6.297,6.601,7.265
2003-08-29,6.1,6.303,6.61,7.272
2003-09-01,6.105,6.309,6.619,7.278
2003-09-05,6.109,6.315,6.629,7.285
2003-09-08,6.114,6.321,6.638,7.292
2003-09-12,6.118,6.326,6.647,7.299
2003-09-17,6.122,6.332,6.656,7.305
2003-09-22,6.127,6.338,6.666,7.312
2003-09-28,6.131,6.344,6.675,7.319
2003-10-03,6.136,6.35,6.684,7.325
2003-10-09,6.14,6.355,6.694,7.332
2003-10-14,6.144,6.361,6.703,7.339
2003-10-20,6.149,6.367,6.712,7.346
2003-10-25,6.153,6.373,6.721,7.352
2003-10-31,6.158,6.378,6.731,7.359
2003-11-03,6.162,6.384,6.74,7.366
2003-11-06,6.166,6.39,6.749,7.372
2003-11-10,6.171,6.396,6.758,7.379
2003-11-13,6.175,6.402,6.768,7.386
2003-11-16,6.18,6.407,6.777,7.393
2003-11-20,6.184,6.413,6.786,7.399
2003-11-23,6.188,6.419,6.795,7.406
